,text,label
0,孩子学校有阳的，是前期家里网课保护的太好，漏网之鱼。现在开学了，跑不掉了。,2
1,人民群众压力也很大。,2
2,看来张珊珊还没落网啊,2
3,相信用不了多长时间，我们就可以挺过最艰难的时段！挺住，加油！,0
4,咱就是说，学校就是个垃圾学校，领导就是个垃圾领导，老师去做核酸检测，阳了就是为了偷懒请假，真的寒心这句话；管你啥症状，就是得上完课，完全不顾老师学生死活的老师提意见就是没领导回复。,2
5,上个月才和我二奶奶打电话，说年后带我的宝宝去看她。都约好了的，没想到就是永别了。12月中旬打的电话，12月27号她就去世了。一直都是看热搜不断有老人去世，没想到一下子就发生在自己身边了。也不知道我奶奶有没有得新冠。大过年的对老人好点吧！,1
6,专家学者用科学结论为国家提供决策参考，俗话说，他山之石可以攻玉。对于疫情防控方面的这种批评，我们一些专家还是需要认真反思的。国家给了你们待遇和位置，你们是应该静下心来认真做实实在在的研究工作，而不是到处抛头露面和大放厥词。因为那些专家的研究成果会影响政府决策措施和老百姓抗疫的态度方法。,1
7,不会有人跟我一样，低烧没药吃，只能熬到38.5以上吃了布洛芬才能睡，但这样持续了三个晚上，已经绷不住了，第四个晚上诊所在呼唤我“没关系，我会出手…”药效上来了，晚安家人们,1
8,这不是掩耳盗铃吗,2
9,一切回归正常吧！魔幻的十一月终将结束！,1
10,我没打过疫苗，现在都还没阳过，所以还是很少去人多的地方，出门戴口罩，回家喷酒精。,1
11,快快好起来吧。,0
12,那些高风险有感染者的地方还是被封着呢，所以有些担心的人不必过于担心。,1
13,当初要求重新封控的那批网友，现在再也不出来说话了。,1
14,大病求助沈阳的夜景还是很美！心情放松的逛了一圈！爷爷奶奶很平稳！他们的老年基础病没有对他们有很大的影响，虽然暂停了一些药！感谢冯医生，感谢护士小姐姐！更要感谢卖药的大哥！虽然辉瑞药是国外的，你不是神药！但却真的帮爷爷奶奶减轻了痛苦，希望没有其它的后遗症！在这里对你们说感谢,0
15,正常？去医院复诊都要48小时！去医院之前先排队1个钟再等8个钟先可以去医院！这叫正常？非常不方便咯！,2
16,说真的，群众的压力也不小。朋友老家在河南的一个小县城，今年疫情断断续续，基本没上几天班，到手的工资屈指可数。但是，车贷房贷是要还的，加上生活开销，这都不是一个小问题。而且，疫情持续时间长，工作难找，工资和待遇也开始下降，对很多普通百姓来说，疫情期间维持最基本的生活就很不错了。,1
17,抗疫抗感染小套餐：从外面回到家，用氢负离子饮用水溶盐水，喷鼻子簌口润嗓子，保持口腔鼻腔咽部长期碱性。喝柠檬水也不错！健康。,1
18,多久没有那种纯粹内心的触动了，当妈妈从昏迷到慢慢意识复苏，到今天我离开医院挥手跟我拜拜，不敢相信这只才过去了短短半个月，作为19届的学生，在这次疫情之中我们失去了太多了太多，只希望最后的结局能配的上这一路的颠沛流离。,2
19,图片是核酸检测羊性病例数（确诊病例+无症状感染者）上海和全国的对比，时间都是56天，上海的数据是3月1日至4月25日；全国的数据是10月1日至11月25日。以上信息数据来自国家卫生健康委员会官方网站和上海发布。本人非防疫专业人士，仅为个人预估。,1
20,核酸检测，新冠疫苗，从某种意义上来讲，都是奇奇怪怪垄断资本与一小撮权力部门及具体人，相互掩耳盗铃罢了。试问，全世界大多数国家都能躺平，为什么惟独咱们社会一直处于机械古板式清零，难道这种措施，很科学、很客观、很人性、很实锤吗？还是很别有一番风味，那就是选择牺牲大多数，博利极少数，不是吗？现在，有人又在某些场合，公开高调把新冠病毒感染，归究于上年纪的老年人，声称连七十八十岁多老人都要注射新冠疫苗。呵呵，这难道不是又一个伪命题吗？别出心裁、挖空心思，难道不是资本逐利人惯用伎俩吗？贼者，总是冠以各种借口，以偏概全达到不可告人的目的。当下，凡是以主观偏面的形式出现新款新题，都逃避不了客观辩证的无限质疑，况且，在依法治国的社会里，绝大多数人不仅仅是显微镜，适时也会立马成为放大镜。,2
21,在这问一下，有人知道广东省内去广州坐火车去别的城市，也要三天三检吗,1
22,有人因为疫情封控被逼无奈跳楼，而有人粉墨登场抒情卖惨。,2
23,别说了!我这两天心情好到爆!,0
24,大家都说别那么快去堂食，倒不是因为怕，因为这两天的菜可能不新鲜。,2
25,其他地方一起回归正常吧！不然明年回学校我怕变成阳性了，就回不了家了！全国各地一起回归正常起来好嘛？之前想润国外，现在我想润广州。,0
26,阳的第二天发烧到39度40度，疼到想哭难受能感觉到我的心跳非常的快，嗖嗖嗖有点挺不下去了，希望广大网友们回复一下去社区打退热针怎么样？,1
27,我是真怕了，之前被感冒洗脑，以为几天症状走一遍就好了，阳的时候也没啥思想包袱。没想到阳后甚至一个月过去了，现在心跳得明显比之前快，容易累，喘不上气。,2
28,绿码上班，核酸自愿，交通通畅，堂食开放，十二月的第一天，烟火气又回来了。,0
29,保定很严重吗？我的快递都卡保定中转了,1
30,资本家想捞钱了,2
31,广州是正常了，从广州到另一个城市却还要按疫区进行管控，三天三检，傻傻分不清谁对还是谁对。,1
32,快快好起来吧。,0
33,疫情期间，失眠的问题困扰着很多人。感染新冠病毒后，同时患有睡眠障碍，可以吃失眠药吗？,1
34,这种热搜不撤，兰州小孩的热搜就撤，被网暴致死的老师的热搜就撤，微博审核你出生的时候亲妈被原子弹炸没了吗？怎么会有这样的价值观?,2
35,我已经推迟七天了上次是姨妈最后一天遭的新冠正常的吗？什么时候才会再来啊,1
36,大无语，能不能消停会儿，给老百姓留条活路吧。,2
37,很多小伙伴们反馈说自己阳康之后还是咳嗽不停，一到晚上还会更加严重，简直太痛苦啦！那到底咳嗽是什么原因导致的呢？,1
38,发布会开成煽情故事会和表功大会。真有你的！你只不过失去了生活下去的希望，我呢，可是错过了女儿十八岁生日！,2
39,风向一变，一夜之间，各地争先恐后宣布不做核酸了。很多事情其实心里都明白，就是不想当出头鸟。有担当的还是太少了。,2
40,只想知道以后大学生还封不封校？,1
41,我们没有等来清零后的解封，等来的是无奈的放开。以后，再也不会有人给我们层层筛风险了，没有人查验健康码、行程码、核酸。也意味着从今天起，我们身上的“三层防护衣”正式被国家收回了。只有把送给你的福利收回去，你才知道你曾经拥有什么，因为什么拥有，你才知道什么叫失去，才能慢慢体会失去后的难过。我们三年没有感染新冠，不是因为幸运，也不是因为免疫力强，是因为这三年来每一个接近你的人，国家都帮你筛查过了，都是健康的，低风险的，只要有风险的，国家都把他和你隔开了，国家尽力了!这次“解封”后，新冠被列入二类传染病范围，感染后自费，接着被封的机会可能不会太多，但是感染的机率可能更大了。,2
42,百姓的生活心理压力也大。,2
43,我觉得，最正确处理新冠的顺序应该是这样！开始发烧，抗原阳性后立马去医院吊针，再吃点医生开的西药。退烧之后，食补+中医。三餐饮食规律，休息规律，多吃水果，不剧烈运动，不熬夜。中医就是对症下药，咳嗽，失眠各种中医都是有的。,1
44,让人说话，天塌不下来,2
45,杀牛，倒奶，也不给个人吃喝，我记得这是小时候课本里揭露资本主义的血腥本性，对人民冷漠无情本质时记忆深刻的一段。那时候我非常想不通，为什么牛奶倒阴沟里也不发给穷人喝，老师说资本家就是这么坏。,2
46,其实它欠我一个科学合理的解释，生机回来了，这让人真心高兴！,0
47,上海跟上好吗？别搞48小时核酸了！,2
48,前两天看到有网友说新冠的时候高烧后原来一见风就头痛的问题好了,1
49,风向明显变了，疫情防控没有意义，不值当；群众太不容易了，民生之多艰。总之，放开就对了。这股风有点猛。,1
50,年底了，一点都不开心，还在咳还在咳，喉咙痒痒的，不由自主的想要咳，好难受啊啊！难受死了啊！吃了6天的头孢加左痒，挂了三天的头孢，又吃了两盒化痰的药和一瓶止咳药，简直了，皮肤都发黄了还在咳！烦死了！,2
51,一个实事求是的城市，一个胸怀开放的城市，一个有人情味的城市，如果孩子大了，让她去广州工作，等我们退休了，打算去广州养老！,1
52,别再心怀幻想了，咱们的疫苗够14亿人打几轮的，全球之最，无可匹敌！绝对不接受外来嗟来之食。崇洋媚外的，各自预约去国外打疫苗吧，司马南们赢了！,0
53,郑州公布的本轮疫情源头结果，触动了谁的神经？,1
54,当你的孩子感染的时候，你想的是什么呢？当初不如不去上学？不如戴好口罩？还是得就得吧？,1
55,有感觉了，没有疫情时期的样子了，一切正常。,1
56,又开始了哦，虽然还没中特奖，但中了一等奖，甲流。,1
57,房产泡沫崩了以后得换个泡沫，于是核酸检测泡沫应运而生罢了。地方财政背不住只好转嫁给居民了，问题是居民就能扛住吗？,2
58,哪怕生生不见，我也祝你世世平安,0
59,好多人阳过之后，又好了伤疤忘了疼。要是没有三年防疫，病毒会减轻吗？,1
60,无所谓了，保持愉悦心情良好生活的状态，说不定还能活久一点。,0
61,从全员核酸到非必要不核酸，从有家不能回到有家不敢回。还有经常性的全员在岗、取消休假。疫情三年，最后还是医护人员扛下了所有。希望疫情早日散去，早日回归正常生活。,0
62,密切关注，看看半个月至一个月后的情况如何。,1
63,“以前是你防别人，现在攻守易位。”日本、印度、韩国、意大利……对来自中国的游客采取相应的入境防疫措施。,1
64,前几天下乡采访对象正处感染中，同车两位同事阳康一位还咳得厉害，多面夹击真是很难挺到决赛圈…病毒对我还算友好，鼻塞流涕咳嗽轻痰，以为只是着凉上火重感冒，感觉嗓子配音很吃力，才买的感冒药。进不了决赛圈，表示很遗憾。,2
65,"为什么近期媒体、医界阴风阵阵？阴风一:长新冠。我们都知道，脑膜炎炎症退了就治愈了，致于变痴那是后遗症。新冠也一样，炎症退了，检测不到病毒了，就治愈了，其他的就是后遗症。后遗症重、普遍，封控就必要而合理，这损了资本的利益，于是就创造一个新名词叫“长新冠""",1
66,耳朵疼痛持续三天，今天来看医生，发现是鼓室积液。鼓膜穿刺，给我疼得呲牙咧嘴，连着脑瓜子都疼，疼得走不了路。医生还说阳了之后好多人都有这个毛病，要是耳朵疼、有点听不见，家人们一定要注意去看医生。,2
67,家在天河，就个人日常生活而言，即使前段时间的静默，只是开车出小区受限，但人还是可以自由进出的。国庆节那段时间，还出去过几次逛街吃饭，后来疫情起来也就没有了。现在还没有打算外出活动，静观几天，看看疫情变化情况再说。没有了方便的核酸检测点，现在要自费去医院排长龙。,1
68,看看我家的库存——包括精氨酸布洛芬、布洛芬缓释胶囊、乐松,1
69,只是回到几个月前的正常生活而已。那个时候没有社会面核酸也没有躺平，民众期待的可能也是这个样子吧。依旧愿意接受防疫政策，但希望是合理的有界限的。,1
70,去年12月15日抗原测试阳性，12月23日转阴，到今天还是偶尔，近一个月了还是不清爽，体重降了2公斤。,1
71,120院前急救车组的工作量早已超过平时的几倍。急救电话一旦响起，电话那头是对生命的托付，电话这头是急救车的一刻不停歇。接到任务立即出发，以最快速度到达患者身边，以最快最准确的方式完成抢救、转运，为后面的救治争取时间，这是院前急救车组人员日复一日不断重复的工作。,1
72,熬了半个月，新冠总算好了，HIV感染者好像更艰难。大家好，我从感染新冠到今天接近康复，煎熬了半个月左右。看了很多网友的评论和一些资料，发现HIV感染者在新冠面前好像更艰难。,1
73,有研究显示，大部分感染新冠以后的症状，在一年以后都能消失，一年。打过疫苗的比没打疫苗的，症状要轻。,1
74,我只知道有起码两家医院暂时停诊了罢了。咱也不知道是不是非三甲就可以停。,1
75,还有多少生病的？,1
76,没事，怕死就自己在家呆好永远别出门了毕竟外出风险可不止阳性哦！,2
77,看着现在的症状都把大家折腾得这么难受，真的不敢想象三年前的武汉。经历过才知道国泰民安才是心之所向。,1
78,说实话限流？,2
79,对待疫情的态度，能看出历史疫情防控的经验。这次西方国家为什么很早就已常态，我们为什么现在才常态？最大限度保护人民生命安全没有问题，但很明显是需要以发展为代价的，是鱼和熊掌的关系。,1
80,我们是必胜的，最强大的，最幸福的！,0
81,要囤什么药啊？有没有备药清单指引？拜托这对我很重要,1
82,看看这两天的几个热搜。一、小县城抗疫情压力有多大。二、多地通知11月起常态化核酸检测变化。三、多地通知乘火车飞机不再查核酸。四、多地通知11月起核酸检测收费。五、多家核酸检测企业应收账款超净利润。咋感觉像是起风啦？,1
83,昨下午消息公布，晚上外面已经塞车了，今早一早恢复车水马龙的感觉，出入各大政府机关，写字楼，商超，饮食店，公共交通，小区全部绿码通行。今天回办公室大家有一种春节后上班的感觉，喜气洋洋的！中午和晚上很多人都选择约上朋友或同事外出庆祝一下!,0
84,最近确实戾气较重，看到全网都在骂刘红英平衡了很多。,2
85,第二波的感染高峰期其实是早早就可以预判到的，但最可怕的未知项是多地不同的毒株在这次如约而至的交叉，是否会引伸出新的毒株，这才是最可怕，最未知的。出现新毒株，23年的上半年要持续处于高度紧张状态。没有出现新毒株，23年的3月份基本会逐渐转危为安。持续保持警惕吧。,1
86,说到疫情，我发现每个人的反应差距太大了，人和人的悲欢并不相通。所以，我们一定要好好地活下来，而且至少要保持能够在阳光下漫步的体力。好在，有了第一次疫情冲击的经验，下一次全社会可能都会准备得更好一些。祈祷如此。,0
87,放假前第一波全阳，最近开学了，都在复阳了，感觉一直就没好过。,2
88,这两个城市，是放开后最先爆出“失控”的地方。博主之前也曾关注过，也曾发过声。公布的数量依然是个位数，与网上数量反差巨大。,2
89,这届孕妇真的太难了，小婴儿可怜，我算幸运的。感染了新冠，发烧倒没什么，那个打喷嚏和咳嗽伤口真是疼的要命。,2
90,后遗症，嗅觉变得不灵敏了，容易烦躁。,1
91,看来很久都没法去广州了。出来就要被区别对待。,2
92,又反复了捏，喝布洛芬喝不下去。,1
93,我问我老公他咋样，他说这些新冠后遗症都一样，他说拖个地就难受的不行了。大年初一开始他又流鼻涕，他问我是不是二次感染了，我说才一个来月上次还没好呐。,1
94,我真的只能说新冠真的会对生理心理造成很大的伤害，我以为我在阳了期间没有失眠我就以为我度过去了，但是没想到它的后遗症这么严重，因为发烧烧了四天，太多的脑细胞被战斗无了，导致了后期的失眠，从而导致了神经紊乱。记忆断片，甚至对生活失去了希望，觉得活着没有很大的意义，在那一刻我以为我是抑郁的。,2
95,希望不再反复，不管新增病例多少，都维持正常，不要像前段时间石家庄那样。这需要大家对病毒的认识有一个转变，大家如果都把奥密克戎当成一个普通感冒，那么这个疫情马上就能真正结束了。如果有很多人阳性之后哭天抢地要去医院住ICU，不给他住就写小作文，那就比较麻烦。,1
96,所以我两次失业，所有计划被打乱，就被你们一句“疫情很严重”和“疫情结束了”轻描淡写地带过了。,2
97,小县城的财力本来就很吃紧。疫情来了，经济下滑厉害，企业的经营雪上加霜。疫情期间，入不敷出，核酸对个人是免费的，可是都是财政买单。三年了，这三年的用来核酸检测的支出，应该不是个小数目。有时候也会想，这三年中，那些跟疫情相关的支出，给了谁？谁是受益者？,2
98,忽然想起一句话，冬天来了，春天还会远吗？,0
99,求助贴，大家新冠之后都多少天来大姨妈啊，我已经推迟八天了，害怕中奖，毕竟中间吃了eve这种含布洛芬的药物，十月还拍了ct还吃了好多别的药物。我们俩还没想备孕。,2
100,所以大城市更应该坚持执行“动态清零”策略，严格防控，不要把疫情传播到小县城。,1
101,整场看下来除了公布了疫情源头，其他基本没一点干货。,2
102,正常是指不戴口罩，不要核酸，不需扫码。这才是正常吧！,1
103,侧面印证：大同疫情仍处于上升阶段，恐怕确有个别“自行车”现象。怀仁压力很大，要做到心中有数，望大家积极配合。,1
104,看懂啥意思没？还迷了？,1
105,没在医院死的你们知道有多少？我晓得的这段时间死的老人我们周围起码有100以上了。,2
106,成败否，30天，广州闯关！医用N95.出门必备，勤洗手，多消毒！新冠药没必要备，???症状了，千万莫在家里抗，赶紧去医院，莫拖，莫拖成普通型，或重症莫怕方仓，现在???条件，轻症也可居家治疗了，虽然方案还在讨论中，但快了，超大量的轻症，居家是避免挤兑的唯一办法。,1
107,周一有症状，现在周五了。天天核酸，天天阴，我真的如果不是抗原我到现在还以为是感冒！所以大家阳了在家，我阳了低烧两天还在加班。我的跨年和元旦快乐假期也没了。,2
108,有个同事，平时也能说上话，他的专业能力不错，性格属于耿直类型。在我阳的那几天，他在电话里说，他让阳的同事，都要上班，只要起得来都要上班。从那天起，我决定默默把这个同事列入个人黑名单。,1
109,根据统计，疲劳是最常见的症状，出现比率高达70%；其次是注意力难以集中(48%)呼吸急促(46%)和肌肉疼痛(45%)。,1
110,逐渐恢复活力，鼓足干劲把钱包弄富足，毕竟离过年不远了！,0
111,最喜欢看两拨人互咬了。总之就是没钱的，有经济压力的，各种贷的，盼着解封；没经济压力的，有点存款的，或者本地人，觉得安全更重要。反正都是站在自己的立场呗。但是大部分中小底层市民跟着欢呼我是真想笑。解封了你不做核酸了让你自生自灭了，你的工资就能涨一分？,2
112,近期，新冠造成大面积的医疗资源挤兑，如果你拥有中高端医疗险，可以用它来争取医疗资源，也许会多个保命的机会。,1
113,目前都还在观望期，很多人即使阳了也是在自我居家康复中。生理上的难受，和去方舱的难受相比，很多人选择在家。等元旦过后再看吧！,1
114,那叫准备不足？简直是毫无准备，药没药，床位没床位，那惨状永远不会忘记！,2
115,疫情三年从支援发热门诊、闭环管理到看大门，拦陪护再到支援核酸采集再后来……自己阳，全家阳。2022年最后一天，说声再见吧。希望2023年一切顺利，家人身体安康。,0
116,小县城大，城市也大，都有压力，主要是看不到头，无边无际。,2
117,这才放开多久，现在的数据不具备参考价值，最少一周之后在看，希望还能是这样,1
118,这几天，头条上老专家教授去世的新闻越来越多，真的不想再说什么。就是搞不懂为什么我们的政策会突然转向？在全国人民还没做好准备的情况下突然放开？网上的质疑越来越多了。,2
119,可是没阳过小孕妇还在瑟瑟发抖,2
120,等各地正式开始自费核酸后，这些个小县城的压力就换人了。不过不管怎么换，不管是群众自己掏钱还是财政掏钱，核酸检测机构还是赚得嘛好在钱搞来搞去始终在那，在人润出去之前，大家还是可以自我安慰一下的，画饼充饥比麻沸散要好用的多。,2
121,疫情当下，能够一家人齐齐整整，坐在一起吃顿饭都变得奢侈，但是，我相信总会过去的，中国人，流着的是敢与天斗的基因，期待春暖花开时。,0
122,唯有患难见真情。在目前这个抗原比金子贵的时代，患难见真情的人真的不多了。,1
123,广州解封后的第一天，人流量暴增，小街道里挤满了出来放松的民众。话说这还是多注意点好，毕竟疫情还没结束，还没吹响胜利的号角，希望大家还是做好个人防护，避免聚集和去人流量大的地方，对自已，对家人负责。,1
124,草草看了一圈下来，都是在攻击做核酸的问题。现在不都是有疫情就免费做核酸，低风险地区按需求做自费核酸，这有什么好冲突的。,1
125,掩耳盗铃，还天天宣传挺自豪的样子哈，确诊人数多不多你们自己没点B数？核酸点都不给核酸了，鬼知道有多少阳性哦。,2
126,今天很多人问我，广州怎么样了？很好，和上周四一样，公交车很挤，车很多，该加班还得加班。生活在这座城市的人，封控也好，解封也好，过的都是寻常的日子…,0
127,六个字背后隐含了多少生命与凄酸？,2
128,关于张文宏，突然有一个不祥之兆：张文宏说现在是新冠疫情最后一个冬天，23年夏天就会走出疫情。张文宏说新冠就是感冒，当然就应该知道新冠疫情近期不会结束，流感疫情100多年了，不是也没结束么？难道他连这点都不知道？不会吧！除非对张文宏来说，等于新冠疫情已经结束了…倒吸一口冷气，会是这样？,2
129,现在这样也挺好的，至少给一部分人自由的选择，而不是一刀切。你害怕，家里有老人孩子，可以不出来；你家里有余粮，也可以继续居家。但有一大部分人，在他们的认知里，穷比感冒更恐怖，早就出来刨食了。当群体都免疫的时候，或者说身边几乎都是羊了，基本也就无所恐惧了。,0
130,疫情防控，严防死守！！,1
131,从这三年防控看，社会普遍科学素养低，决策者们也不高。怎讲？核酸检测，从捅嗓子眼采集，到试剂、仪器、实验室操作，人员道德等等，都是有误差的。假设整个流程下来，总体的累积误差率是万分之一（相当低了），那么，1万个样本就会有1个错误：要么该阳性的被确定为阴性，要么该阴性被确定为阳性。10万个样本就有10个。这说明啥？说明只要是常态化核酸检测，就永远不可能做到清零！阴性被误确认为阳性还好，会有复核；如果阳性被误确认为阴性，就会在社会隐蔽传播。,2
132,压力是肯定有的，但这一切都不是借口，一定要保障好老百姓的衣、食、住、行加就医，别把很多压力直接就转给百姓身上。,2
133,戏剧性的一学期，一切来得那么突然。提前再提前，文件再文件，真是计划赶不上变化。匆匆结束功课，匆匆放假，匆匆告别校园，一切是那么匆匆，一切是那么急促。是谁导演了这么一出结尾堪称不完美、草草收场的闹剧？这一幕实是滑稽可笑但又无可奈何，一切的按部就班变得毫无头绪，说不清理还乱。,2
134,在封控和放开里选一个，你还会选哪一个呢？是封控在家每天核酸，还是放开感染，老人去世？,1
135,这是这么长时间以来我最喜欢的一个热搜词条了！,0
136,不要制造焦虑，更不要制造恐慌！放下恐惧，抬起头正视病毒。,0
137,防新冠必备好物至今没阳是怎么过的？只是没轮到我早晚的事依旧紧张的防护着这几样东西必备！,1
138,广州那么勤奋的一座城市，关在家里没有收入，真的是生不如死，人也真的会疯掉！,2
139,支持防疫爱好者继续居家。,1
140,纠结这个干嘛？人有生老病死，社会要继续发展，年轻人要活下去，所有政策不可能照顾到每个人。,1
141,给老人备好了吗？给家人的健康带来保障了吗？还一天天的该吃吃该喝喝该玩玩，还不赶紧的行动起来。,1
142,我在日本，祝愿祖国同胞，身体健康，家庭幸福，新年快乐。,0
143,可能是大量无症状感染者不需要进医院治疗吧，另外广州本来就有大量病例，已经被隔离了，社会面感染比较少吧。,1
144,大家共同的努力，特别是快递物流功劳很大，快递遇到的困难很多，都克服了。,0
145,是上次疫情结束了吧，我特别想知道，最近身边包括自己都在不断地发烧，流鼻涕打喷嚏。比上次还难过的是什么？,2
146,政策开放后，抵御新冠病毒靠自己了。,1
147,昨天全国9500多人感染，死亡5人；而美国昨日新增32.7万，死了快2200人，不知道那些封控爱好者嚎个啥劲？对比一下这些数据，还对政府的工作不满？这些质疑防疫工作，鸡蛋里挑骨头的人，到处抱怨，制造社会对立情绪，莫不是行走的50万？,2
148,中国终于跟国外在同一防控水准了，不到两个月的时间太真实了。这对于年前的我来说，简直不敢想，要知道年前我连吃饭不怕跟同事感染接触，全程戴着口罩，甚至连吃饭喝水都要去到宽阔的草地上野餐，现在我也准备彻底放弃抵抗了。不要太恐慌了，等下一波感染潮新闻出来的时候，再抵抗也不迟，现在能做的就是加油搬砖加油。,0
149,民众宁愿相信吃药，也不相信自己的免疫力，可笑，我只能说，这罪，受得活该！,2
150,大家在春节期间要注意，少接触老人和孩子，确保疫情未全部结束之前，他们的安全。,1
151,从前是农村包围城市获得胜利，一旦农村沦陷看你们吃什么喝什么，农村可是以老年人小孩居多。,2
152,爷爷住不到院，去医院排号还必须患者自己再过道等着（不管排几天），社区医院拍片子肺部白化面积不小，我在北京满是担心，爷爷85了，经不起大医院排号折腾，只能在社区医院输液和吃中药，起到的作用微乎其微，希望官方机构给些解决办法吧。,1
153,好难受啊头好疼啊虽然是第一天症状比较轻，还以为中午舒服点就行了一到晚上就发热，脚却还是冷的,2
154,大家有没有感觉病毒突然就没有了病毒突然就没了。现在医院急诊和发热门诊几乎都找不到病毒感染的了！,1
155,时代不会记录与关心落在小人物头上那一粒灰，但点开实时，就是一部小地方小老百姓自己给自己记录的“时代的灰落在头上就是一座山”,1
156,希望一直保持。,0
157,真离谱了，因为疫情接近10月才来学校，然后又是疫情12月就放寒假了？这学期总共就2个多月。,2
158,祝大家能早日康复，也真心的希望各位用不到这份总结。最后祝大家圣诞节快乐，万事顺遂。,1
159,你怎么不问问老百姓压力有多大？我们这鬼地方一例没有，你说封就封，一封就1个月，物流全停了，物价涨到飞起？店铺都不让营业，学生停课，家长歇业，天天躺家里啥也不能干，一家子7口，做一次核酸28，我还得感谢你们辛苦了吗？,2
160,先头部队不是烈士就是英雄。,1
161,今年疫情为何没完没了，就因为这些社会垃圾在从中作梗。这些杂种社会渣渣。,2
